season,week_in_season,mean,median,p10,p90,flag
Spring,5,5745.5,5200.5,2425.4,8764.999999999998,top3
Spring,4,5070.3,4630.5,2562.5,8592.3,top3
Spring,6,3825.9,3527.5,2484.0,6512.0,top3
Summer,2,3604.9,2043.0,803.5,6977.999999999997,top3
Summer,3,2082.9,1767.0,907.3,3543.3999999999996,top3
Summer,1,1875.3,1460.0,1208.3,3149.7,top3
Autumn,9,4697.1,4548.0,2601.6,7839.599999999999,top3
Autumn,8,4622.6,4281.5,1791.8,9618.7,top3
Autumn,7,3835.4,2773.5,945.7,6757.099999999998,top3
Winter,13,2792.909090909091,1808.0,773.0,8298.0,top3
Winter,11,2093.7272727272725,1600.0,736.0,3851.0,top3
Winter,10,2063.090909090909,1330.0,1031.0,3885.0,top3
