month,S,VAR_S,Z,p_value,Sen_slope,n
1,-1.0,125.0,0.0,1.0,-70.0,10
2,3.0,125.0,0.17888543819998318,0.8580276569875211,183.5,10
3,11.0,125.0,0.8944271909999159,0.37109336952269767,167.75,10
4,5.0,125.0,0.35777087639996635,0.7205147871362554,367.6666666666667,10
5,-5.0,125.0,-0.35777087639996635,0.7205147871362554,-58.0,10
6,-33.0,125.0,-2.862167011199731,0.004207551285491773,-1108.0,10
7,21.0,125.0,1.7888543819998317,0.07363827012030266,318.6,10
8,21.0,125.0,1.7888543819998317,0.07363827012030266,148.33333333333334,10
9,1.0,125.0,0.0,1.0,6.571428571428571,10
10,-17.0,125.0,-1.4310835055998654,0.15240628395674927,-691.25,10
11,-5.0,125.0,-0.35777087639996635,0.7205147871362554,-269.1111111111111,10
12,-9.0,125.0,-0.7155417527999327,0.4742743507673297,-234.6,10
